feature,importance
odor_is_high_risk,0.9424767328488296
odor_x_spore,0.0361751993415732
stalk-color-below-ring,0.01293134668829332
stalk-surface-above-ring,0.005967593556840368
cap-surface,0.0018330337251620504
cap-shape,0.0006160938393013355
odor,0.0
gill-size,0.0
gill-spacing,0.0
gill-color,0.0
gill-attachment,0.0
bruises,0.0
cap-color,0.0
stalk-surface-below-ring,0.0
stalk-root,0.0
stalk-shape,0.0
stalk-color-above-ring,0.0
ring-number,0.0
ring-type,0.0
veil-type,0.0
veil-color,0.0
population,0.0
spore-print-color,0.0
odor_is_none,0.0
habitat,0.0
bruises_yes,0.0
gill_is_narrow,0.0
stalk_root_missing,0.0
odor_x_bruises,0.0
