feature,importance
odor,0.6810475062393915
stalk-root,0.17660331594600306
gill-size,0.08256284688014384
spore-print-color,0.03686197596270662
stalk-surface-below-ring,0.014137610082272004
ring-type,0.00597871577691031
cap-surface,0.0021087444524256304
bruises,0.0006992846601471173
cap-shape,0.0
cap-color,0.0
gill-attachment,0.0
gill-color,0.0
stalk-shape,0.0
gill-spacing,0.0
stalk-color-above-ring,0.0
stalk-surface-above-ring,0.0
stalk-color-below-ring,0.0
veil-type,0.0
ring-number,0.0
veil-color,0.0
population,0.0
habitat,0.0
