feature,importance
odor_x_spore,9.805885449384212
odor_x_bruises,7.271548409697638
spore-print-color,5.56625728576277
odor,5.321007786343745
odor_is_high_risk,5.321007786343731
gill-color,3.409830898753578
stalk-surface-above-ring,3.374959999321804
cap-color,3.3415610713898385
stalk-surface-below-ring,3.1389264395818897
habitat,3.1010476816256114
population,2.3731732637227188
gill-size,2.196681490740779
gill_is_narrow,2.196681490740779
stalk-color-below-ring,2.127166120507572
gill-spacing,1.7825861657453221
cap-shape,1.769049130199923
stalk-root,1.6403602361477763
stalk-color-above-ring,1.6345479503685483
ring-type,1.5596969234519753
stalk-shape,1.1808262175229065
cap-surface,1.1574959779281515
odor_is_none,1.094203593999942
veil-color,0.8127553319765898
stalk_root_missing,0.7171898730532529
gill-attachment,0.27822645796346157
ring-number,0.14010189178503354
veil-type,0.058734249768822806
bruises,0.05873424976881821
bruises_yes,0.05873424976881821
