feature,importance
odor,19.67703686913388
spore-print-color,9.453444554801045
gill-color,5.165065250669834
cap-color,4.585916055534322
ring-type,4.105634691791171
habitat,3.999872270997203
stalk-color-below-ring,3.9936858933772754
gill-size,3.8782410568149124
population,3.7432633514545692
stalk-root,3.507579677196434
stalk-color-above-ring,3.48594222495085
stalk-surface-above-ring,2.945045627457245
stalk-surface-below-ring,2.9177952653368715
gill-spacing,2.391623966898534
cap-surface,1.9387410445331277
cap-shape,1.4262208207444085
veil-color,1.3701064535044658
stalk-shape,1.283309067834944
ring-number,0.9891419410471372
bruises,0.7004973214345055
gill-attachment,0.595683277342791
veil-type,0.0631362690798331
