feature,importance
odor,0.23516184077476418
gill-size,0.11061317268832294
spore-print-color,0.09715263014276526
stalk-surface-above-ring,0.07224811504889278
ring-type,0.06502721481830624
stalk-surface-below-ring,0.06492278279165392
gill-color,0.05749842040437934
bruises,0.055475752112246306
stalk-root,0.04436876013927096
gill-spacing,0.03583967399426762
habitat,0.032966257672836376
population,0.03248919950792476
stalk-shape,0.018882131830624004
stalk-color-above-ring,0.016354732467071163
cap-color,0.014783853869850195
ring-number,0.013389436978648205
stalk-color-below-ring,0.013373034650295152
cap-surface,0.010945729960445533
cap-shape,0.004445210482621479
gill-attachment,0.0025279731196946728
veil-color,0.0015340765451191175
veil-type,0.0
