feature,importance
odor_is_high_risk,0.28514023910451225
odor_is_none,0.10953508702731211
odor,0.09847249077830125
odor_x_bruises,0.07304939536681361
odor_x_spore,0.05573192755349024
gill-size,0.045511505783531477
spore-print-color,0.041177649014139
gill_is_narrow,0.03654682220839353
stalk-surface-above-ring,0.03521266432231292
stalk-root,0.030814331944238642
bruises_yes,0.028469028807754922
stalk-surface-below-ring,0.02400067974652234
ring-type,0.02241093511928386
bruises,0.02212750450151108
gill-color,0.01943782858819847
habitat,0.011627637405398043
gill-spacing,0.009999044309492992
population,0.008977079699984066
stalk-shape,0.008408602547233145
stalk-color-below-ring,0.0072733247749162105
cap-color,0.006721062171433106
ring-number,0.005192970740003421
stalk_root_missing,0.004482989391267442
stalk-color-above-ring,0.004193186712208307
cap-shape,0.0030192335698879047
cap-surface,0.001957565820087574
veil-color,0.000382582847224603
gill-attachment,0.00012663014454749311
veil-type,0.0
