feature,importance
odor,0.23085078153773966
gill-size,0.11486123697208869
spore-print-color,0.0990087588340027
ring-type,0.06820830450319124
stalk-surface-above-ring,0.06803624226090482
stalk-surface-below-ring,0.06295744858400416
gill-color,0.055099035729148274
bruises,0.05368379033619887
stalk-root,0.04565218401453385
gill-spacing,0.03860847119341443
habitat,0.03227524221767817
population,0.03026200720328865
stalk-shape,0.021439030957276936
stalk-color-above-ring,0.017021804581349657
cap-color,0.014925951742052605
ring-number,0.013383572337115651
stalk-color-below-ring,0.013091851672237847
cap-surface,0.012020052344537908
cap-shape,0.004640541733201519
gill-attachment,0.0022834395602052077
veil-color,0.0016902516858292014
veil-type,0.0
