feature,importance
odor,0.20324802221076302
gill-size,0.11636036424676098
spore-print-color,0.10777342786765905
stalk-surface-above-ring,0.07776752889317735
ring-type,0.07732555768377683
stalk-surface-below-ring,0.06473237987193828
gill-color,0.04996002226590874
bruises,0.04972108446898833
gill-spacing,0.04360532768873315
stalk-root,0.04178298341831603
population,0.03846416485873362
habitat,0.032092066910337655
stalk-shape,0.0197005142369972
stalk-color-above-ring,0.01659919745509815
cap-color,0.015069108093956798
ring-number,0.012785686064250014
cap-surface,0.012244965263252135
stalk-color-below-ring,0.011303863359877193
cap-shape,0.005719553656942473
veil-color,0.0021259815808076805
gill-attachment,0.0016181999037253453
veil-type,0.0
