feature,importance
odor,0.37475258111953735
stalk-root,0.30272239446640015
stalk-surface-below-ring,0.08078926801681519
population,0.060582563281059265
spore-print-color,0.053455665707588196
gill-size,0.022427385672926903
habitat,0.02013242617249489
stalk-color-below-ring,0.016091803088784218
cap-shape,0.015623346902430058
bruises,0.01530500128865242
cap-color,0.009637110866606236
gill-spacing,0.008396513760089874
gill-color,0.0072545381262898445
cap-surface,0.007088790647685528
stalk-surface-above-ring,0.0029632896184921265
stalk-shape,0.0017861737869679928
ring-type,0.0005303297657519579
ring-number,0.00046089079114608467
gill-attachment,0.0
stalk-color-above-ring,0.0
veil-color,0.0
veil-type,0.0
