feature,chi2,p_value,cramers_v,n_unique
odor,7659.726740165339,0.0,0.9705579576413808,9
spore-print-color,4602.0331700846045,0.0,0.7520362816115772,9
gill-color,3765.7140862414803,0.0,0.6798766633415289,12
ring-type,2956.6192780575316,0.0,0.6029002527839349,5
stalk-surface-above-ring,2808.2862874186076,0.0,0.5876656990615653,4
stalk-surface-below-ring,2684.4740763290574,0.0,0.5745509513711997,4
gill-size,2366.8342569059605,0.0,0.5396770170525035,2
stalk-color-above-ring,2237.898496448818,0.0,0.5239432239810702,9
stalk-color-below-ring,2152.390890598281,0.0,0.5137994721720488,9
bruises,2041.4156474619554,0.0,0.5011884872000123,2
population,1929.740890902809,0.0,0.48677452729229864,6
habitat,1573.777260825262,0.0,0.4393229133300499,7
stalk-root,1344.4405265497817,7.702047904943513e-290,0.40622390039147543,5
gill-spacing,984.1433330144739,5.0229776137324786e-216,0.34789658744266105,2
cap-shape,489.91995361895573,1.196456568593578e-103,0.24432985008184127,6
cap-color,387.59776897722986,6.055814598336574e-78,0.2158888268662236,10
ring-number,374.7368308267115,4.23575764172306e-82,0.21421150249855173,3
cap-surface,315.0428312080377,5.518427038649143e-68,0.1959966392115783,4
veil-color,191.22370152470322,3.320972749169678e-41,0.15222237917389742,4
gill-attachment,133.9861812865668,5.501707411861009e-31,0.1279513384833157,2
stalk-shape,84.14203826548719,4.604746212155192e-20,0.10117000903111316,2
veil-type,0.0,1.0,0.0,1
