accuracy,balanced_accuracy,precision,recall,f1,tn_fp_fn_tp,roc_auc,cv_folds,cv_repeats,cv_strategy,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,experiment_name,model_class,n_features_input,selected_features,feature_engineering,top_n_features,test_size,train_size,random_state,stratify_split,notes,top_ranked_features
1.0,1.0,1.0,1.0,1.0,"[1263, 0, 0, 1175]",1.0,3,1,StratifiedKFold,0.9996307237813884,0.00030151276991424784,0.9996168582375479,0.00031283393905278935,1.0,0.0,0.9992337164750958,0.0006256678781055334,0.9996166134060093,0.00031307385004590533,decision_tree_split_70_30_cv3,DecisionTreeClassifier,22,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat']",False,,0.3,0.7,42,True,Validation sweep: Decision Tree with stratified 70/30 holdout split and 3-fold stratified CV.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[1263, 0, 0, 1175]",1.0,5,1,StratifiedKFold,0.9996306934444865,0.0004923456073222495,0.9996168582375479,0.0005108556832694622,1.0,0.0,0.9992337164750958,0.001021711366538952,0.9996164499971402,0.0005114681205350912,decision_tree_split_70_30_cv5,DecisionTreeClassifier,22,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat']",False,,0.3,0.7,42,True,Validation sweep: Decision Tree with stratified 70/30 holdout split and 5-fold stratified CV.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,decision_tree_top7_features,DecisionTreeClassifier,7,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size']",False,7.0,0.2,0.8,42,True,Decision Tree using only the top 7 original features by Cramér's V. Selected after top-k sweep as the smallest tested feature subset with perfect performance.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,decision_tree_top8_features,DecisionTreeClassifier,8,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring']",False,8.0,0.2,0.8,42,True,Top-k feature sweep: Decision Tree using the top 8 original features ranked by Cramér's V.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,logreg_engineered,LogisticRegression,29,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat', 'odor_is_none', 'odor_is_high_risk', 'bruises_yes', 'gill_is_narrow', 'stalk_root_missing', 'odor_x_spore', 'odor_x_bruises']",True,,0.2,0.8,42,True,Adds domain-inspired flags and interaction crosses.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,logreg_engineered_comparison,LogisticRegression,29,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat', 'odor_is_none', 'odor_is_high_risk', 'bruises_yes', 'gill_is_narrow', 'stalk_root_missing', 'odor_x_spore', 'odor_x_bruises']",True,,0.2,0.8,42,True,Feature-engineering comparison for Logistic Regression; engineered features enabled.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random_forest_baseline,RandomForestClassifier,22,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat']",False,,0.2,0.8,42,True,Strong tree ensemble baseline.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random_forest_engineered_comparison,RandomForestClassifier,29,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat', 'odor_is_none', 'odor_is_high_risk', 'bruises_yes', 'gill_is_narrow', 'stalk_root_missing', 'odor_x_spore', 'odor_x_bruises']",True,,0.2,0.8,42,True,Feature-engineering comparison for Random Forest; engineered features enabled.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[842, 0, 0, 783]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random_forest_no_engineering_comparison,RandomForestClassifier,22,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat']",False,,0.2,0.8,42,True,Feature-engineering comparison for Random Forest; engineered features disabled.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
1.0,1.0,1.0,1.0,1.0,"[1263, 0, 0, 1175]",1.0,5,1,StratifiedKFold,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,random_forest_split_30,RandomForestClassifier,22,"['cap-shape', 'cap-surface', 'cap-color', 'bruises', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-type', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat']",False,,0.3,0.7,42,True,Split sensitivity check using a 70/30 train-test split.,"['odor', 'spore-print-color', 'gill-color', 'ring-type', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'gill-size', 'stalk-color-above-ring', 'stalk-color-below-ring', 'bruises']"
